Mesh_name,disease_idx
Meningioma,188
Menkes Kinky Hair Syndrome,189
"Carcinoma, Merkel Cell",190
Mesothelioma,191
Metabolic Syndrome,192
Monoclonal Gammopathy of Undetermined Significance,193
Myocardial Infarction,194
Microcephaly,195
Mosaic variegated aneuploidy syndrome,196
Multiple System Atrophy,197
Multiple Myeloma,198
Multiple Sclerosis,199
Myelodysplastic Syndromes,200
Myeloproliferative Disorders,201
Myocardial Stunning,202
Muscular Diseases,203
Myopia,204
"Liposarcoma, Myxoid",205
Non-alcoholic Fatty Liver Disease,206
Nasopharyngeal Carcinoma,207
Wilms Tumor,208
"Diabetes Insipidus, Nephrogenic",209
Nephrosis,210
Neuroblastoma,211
Neuroendocrine Tumors,212
Neurofibromatoses,213
Neuroinflammatory Diseases,214
Niemann-Pick Diseases,215
Pituitary Neoplasms,216
Skin Neoplasms,217
"Carcinoma, Non-Small-Cell Lung",218
Osteoarthritis,219
Obesity,220
Pterygium,221
Mouth Neoplasms,222
Osteosarcoma,223
"Bone Diseases, Metabolic",224
Pulmonary Arterial Hypertension,225
Pancreatic Neoplasms,226
"Carcinoma, Pancreatic Ductal",227
Pancreatitis,228
Papilloma,229
Paraplegia,230
Keloid,231
Precursor Cell Lymphoblastic Leukemia-Lymphoma,232
"Lymphoma, Primary Effusion",233
Peutz-Jeghers Syndrome,234
"Polycythemia, primary familial and congenital",235
Pheochromocytoma,236
Prolactinoma,237
Arthritis,238
"Neuralgia, Postherpetic",239
Pre-Eclampsia,240
"Liver Cirrhosis, Biliary",241
"Hyperparathyroidism, Primary",242
"Supranuclear Palsy, Progressive",243
Prostatic Neoplasms,244
Psoriasis,245
Pulmonary Emphysema,246
"Hypertension, Pulmonary",247
Nephrogenic Fibrosing Dermopathy,248
Reperfusion Injury,249
Retinoblastoma,250
Rett Syndrome,251
Rhabdomyosarcoma,252
"Arthritis, Rheumatoid",253
Riddle Syndrome,254
"Carcinoma, Adenoid Cystic",255
"Bulbo-Spinal Atrophy, X-Linked",256
